benchmark,group,mode,size,selectivity,samples,inner_repeats,warmup,warmup_us,median_us,p95_us,min_us,max_us,total_us,measured_total_us,ops_per_sec,op_unit,commit,compiler,cflags,opt_level,date_utc
intern_distinct_symbols,ingestion,distinct,1,1.000000,1000,31,462221,300000.000000,0.016097,0.021452,0.006774,0.025581,15.832194,490.798000,63162441.574742,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
reintern_existing_symbols,ingestion,reintern,1,1.000000,1000,127,645390,300000.042000,0.014449,0.016764,0.007606,0.052827,14.565638,1849.836000,68654734.798112,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
mixed_intern_symbols,ingestion,mixed,1,1.000000,1000,63,612417,300000.125000,0.015905,0.018524,0.011238,0.023873,16.195524,1020.318000,61745455.828477,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
intern_distinct_symbols,ingestion,distinct,8,1.000000,1000,7,319930,300000.875000,0.095286,0.113000,0.071429,1.047571,97.429286,682.005000,82110834.964554,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
reintern_existing_symbols,ingestion,reintern,8,1.000000,1000,15,286555,300000.500000,0.097200,0.105600,0.080533,0.124933,97.619400,1464.291000,81950923.689349,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
mixed_intern_symbols,ingestion,mixed,8,1.000000,1000,15,309897,300000.500000,0.091733,0.100133,0.077733,0.119467,92.691800,1390.377000,86307526.663632,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
intern_distinct_symbols,ingestion,distinct,16,1.000000,1000,7,191574,300000.917000,0.178571,0.190571,0.160571,1.559714,181.529857,1270.709000,88139770.789378,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
reintern_existing_symbols,ingestion,reintern,16,1.000000,1000,7,176682,300001.084000,0.178714,0.208286,0.160714,0.261714,182.316286,1276.214000,87759576.371988,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
mixed_intern_symbols,ingestion,mixed,16,1.000000,1000,7,185275,300000.167000,0.196286,0.202571,0.172429,0.273714,194.403429,1360.824000,82303075.195617,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
intern_distinct_symbols,ingestion,distinct,32,1.000000,1000,3,111465,300002.084000,0.361333,0.416667,0.319333,49.875333,460.582667,1381.748000,69477212.921604,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
reintern_existing_symbols,ingestion,reintern,32,1.000000,1000,3,96383,300002.375000,0.347000,0.375000,0.305000,1.125000,346.985667,1040.957000,92222829.569329,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-DMAELYS_DATALOG_PROFILE_LARGE_-O2,-O2,2026-09-18T10:24:23Z
