benchmark,group,mode,size,selectivity,samples,inner_repeats,warmup,warmup_us,median_us,p95_us,min_us,max_us,total_us,measured_total_us,ops_per_sec,op_unit,commit,compiler,cflags,opt_level,date_utc
intern_distinct_symbols,ingestion,distinct,1,1.000000,1000,6,312982,300000.500000,0.041000,0.042000,0.007000,0.082667,35.239000,111.710000,28377649.763047,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
reintern_existing_symbols,ingestion,reintern,1,1.000000,1000,31,378257,300000.292000,0.030935,0.037452,0.012194,0.041677,31.220290,967.829000,32030451.660366,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
mixed_intern_symbols,ingestion,mixed,1,1.000000,1000,31,460185,300000.541000,0.035177,0.040355,0.021484,0.045774,35.537452,1101.661000,28139327.796845,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
intern_distinct_symbols,ingestion,distinct,8,1.000000,1000,7,234977,300000.667000,0.202286,0.220286,0.178429,1.547714,204.379000,1430.653000,39142964.786010,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
reintern_existing_symbols,ingestion,reintern,8,1.000000,1000,7,206492,300000.541000,0.178714,0.196286,0.160857,1.583286,185.063429,1295.444000,43228422.069962,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
mixed_intern_symbols,ingestion,mixed,8,1.000000,1000,7,233029,300000.792000,0.208286,0.226143,0.184286,0.809429,209.591286,1467.139000,38169525.859513,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
intern_distinct_symbols,ingestion,distinct,16,1.000000,1000,3,164343,300000.500000,0.389000,0.416667,0.347000,0.930667,392.665000,1177.995000,40747201.813250,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
reintern_existing_symbols,ingestion,reintern,16,1.000000,1000,3,137423,300001.125000,0.333333,0.361667,0.291667,1.903333,340.205667,1020.617000,47030374.763501,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
mixed_intern_symbols,ingestion,mixed,16,1.000000,1000,3,149436,300000.042000,0.375000,0.403000,0.347000,0.930667,379.728000,1139.184000,42135423.250327,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
intern_distinct_symbols,ingestion,distinct,32,1.000000,1000,3,95171,300000.042000,0.750000,0.805333,0.708000,2.361333,761.472333,2284.417000,42023851.162025,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O0,-O0,2026-06-21T08:18:52Z
