benchmark,group,mode,size,selectivity,samples,inner_repeats,warmup,warmup_us,median_us,p95_us,min_us,max_us,total_us,measured_total_us,ops_per_sec,op_unit,commit,compiler,cflags,opt_level,date_utc
intern_distinct_symbols,ingestion,distinct,1,1.000000,1000,31,508229,300000.000000,0.033613,0.038935,0.022839,0.044355,33.998323,1053.948000,29413215.832280,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
reintern_existing_symbols,ingestion,reintern,1,1.000000,1000,63,561419,300000.208000,0.029063,0.031730,0.023127,0.035698,28.860508,1818.212000,34649424.819548,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
mixed_intern_symbols,ingestion,mixed,1,1.000000,1000,31,573840,300000.500000,0.033581,0.038968,0.025516,0.045710,33.648097,1043.091000,29719362.931902,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
intern_distinct_symbols,ingestion,distinct,8,1.000000,1000,7,270643,300000.625000,0.202429,0.220143,0.178429,0.285714,203.944571,1427.612000,39226344.412908,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
reintern_existing_symbols,ingestion,reintern,8,1.000000,1000,7,204210,300000.834000,0.178571,0.190571,0.160571,0.273714,179.196286,1254.374000,44643782.476359,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
mixed_intern_symbols,ingestion,mixed,8,1.000000,1000,7,206172,300000.208000,0.208429,0.220571,0.184429,0.267857,209.873000,1469.111000,38118290.585259,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
intern_distinct_symbols,ingestion,distinct,16,1.000000,1000,3,164715,300001.333000,0.389000,0.417000,0.347000,0.555667,391.057667,1173.173000,40914681.807372,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
reintern_existing_symbols,ingestion,reintern,16,1.000000,1000,3,139633,300015.959000,0.333333,0.361000,0.319000,0.472333,338.933333,1016.800000,47206923.682140,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
mixed_intern_symbols,ingestion,mixed,16,1.000000,1000,3,150204,300001.750000,0.375000,0.403000,0.347000,2.639000,387.960333,1163.881000,41241329.654836,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
intern_distinct_symbols,ingestion,distinct,32,1.000000,1000,1,95608,300001.292000,0.750000,0.792000,0.667000,0.917000,746.957000,746.957000,42840484.793636,symbols/sec,078437943e2a4944dbfdea6906751dbea4b1567e,Apple_clang_version_21.0.0__clang-2100.1.1.101_,-Wall_-Wextra_-g_-I._-Iinclude_-O0,-O0,2026-09-18T10:21:21Z
